"Country or Area","Year(s)","Variant","Value"
"Ireland","2092","Median PI","5762.04"
"Ireland","2092","Upper 80 PI","6654.789"
"Ireland","2092","Lower 80 PI","4995.419"
"Ireland","2092","Upper 95 PI","7118.273"
"Ireland","2092","Lower 95 PI","4559.98"
"Ireland","2091","Medium","5764.347"
"Ireland","2091","High","7498.324"
"Ireland","2091","Low","4359.066"
"Ireland","2091","Constant fertility","5918.548"
"Ireland","2091","Instant replacement","7029.564"
"Ireland","2091","Zero migration","4740.629"
"Ireland","2091","Constant mortality","5232.949"
"Ireland","2091","No change","5385.608"
"Ireland","2091","Momentum","5395.837"
"Ireland","2091","Instant replacement zero migration","5882.606"
"Ireland","2091","Median PI","5764.348"
"Ireland","2091","Upper 80 PI","6637.272"
"Ireland","2091","Lower 80 PI","5011.271"
"Ireland","2091","Upper 95 PI","7090.455"
"Ireland","2091","Lower 95 PI","4590.924"
"Ireland","2090","Medium","5766.02"
"Ireland","2090","High","7458.766"
"Ireland","2090","Low","4387.188"
"Ireland","2090","Constant fertility","5916.231"
"Ireland","2090","Instant replacement","7001.896"
"Ireland","2090","Zero migration","4757.451"
"Ireland","2090","Constant mortality","5245.837"
"Ireland","2090","No change","5394.611"
"Ireland","2090","Momentum","5397.203"
"Ireland","2090","Instant replacement zero migration","5874.109"
"Ireland","2090","Median PI","5766.02"
"Ireland","2090","Upper 80 PI","6617.652"
"Ireland","2090","Lower 80 PI","5027.136"
"Ireland","2090","Upper 95 PI","7065.642"
"Ireland","2090","Lower 95 PI","4615.773"
"Ireland","2089","Medium","5767.016"
"Ireland","2089","High","7419.22"
"Ireland","2089","Low","4414.505"
"Ireland","2089","Constant fertility","5913.336"
"Ireland","2089","Instant replacement","6974.049"
"Ireland","2089","Zero migration","4773.7"
"Ireland","2089","Constant mortality","5258.078"
"Ireland","2089","No change","5403.064"
"Ireland","2089","Momentum","5398.329"
"Ireland","2089","Instant replacement zero migration","5865.435"
"Ireland","2089","Median PI","5767.016"
"Ireland","2089","Upper 80 PI","6600.452"
"Ireland","2089","Lower 80 PI","5042.141"
"Ireland","2089","Upper 95 PI","7033.691"
"Ireland","2089","Lower 95 PI","4644.671"
"Ireland","2088","Medium","5767.454"
"Ireland","2088","High","7379.822"
